id,section_id,description,complexity,theme_id,explanation,source,theme_name
26579,10,"Из пунк­та  A  в пункт  B  од­но­вре­мен­но вы­еха­ли два ав­то­мо­би­ля. Пер­вый про­ехал с по­сто­ян­ной ско­ро­стью весь путь. Вто­рой про­ехал первую по­ло­ви­ну пути со ско­ро­стью, мень­шей ско­ро­сти пер­во­го на 13 км/ч, а вто­рую по­ло­ви­ну пути  — со ско­ро­стью 78 км/ч, в ре­зуль­та­те чего при­был в пункт В од­но­вре­мен­но с пер­вым ав­то­мо­би­лем. Най­ди­те ско­рость пер­во­го ав­то­мо­би­ля, если из­вест­но, что она боль­ше 48 км/ч. Ответ дайте в км/ч.",1,55,не выполнено ранее,content,Задачи на движение по прямой
26580,10,"Из пунк­та  A  в пункт  B , рас­сто­я­ние между ко­то­ры­ми 75 км, од­но­вре­мен­но вы­еха­ли ав­то­мо­би­лист и ве­ло­си­пе­дист. Из­вест­но, что за час ав­то­мо­би­лист про­ез­жа­ет на 40 км боль­ше, чем ве­ло­си­пе­дист. Опре­де­ли­те ско­рость ве­ло­си­пе­ди­ста, если из­вест­но, что он при­был в пункт  B  на 6 часов позже ав­то­мо­би­ли­ста. Ответ дайте в км/ч.",1,55,не выполнено ранее,content,Задачи на движение по прямой
26581,10,"Ве­ло­си­пе­дист вы­ехал с по­сто­ян­ной ско­ро­стью из го­ро­да  A  в город  B , рас­сто­я­ние между ко­то­ры­ми равно 70 км. На сле­ду­ю­щий день он от­пра­вил­ся об­рат­но в  A  со ско­ро­стью на 3 км/ч боль­ше преж­ней. По до­ро­ге он сде­лал оста­нов­ку на 3 часа. В ре­зуль­та­те ве­ло­си­пе­дист за­тра­тил на об­рат­ный путь столь­ко же вре­ме­ни, сколь­ко на путь из  A  в  B . Най­ди­те ско­рость ве­ло­си­пе­ди­ста на пути из  B  в  A . Ответ дайте в км/ч.",1,55,не выполнено ранее,content,Задачи на движение по прямой
26582,10,"Ве­ло­си­пе­дист вы­ехал с по­сто­ян­ной ско­ро­стью из го­ро­да  A  в город  B , рас­сто­я­ние между ко­то­ры­ми равно 98 км. На сле­ду­ю­щий день он от­пра­вил­ся об­рат­но со ско­ро­стью на 7 км/ч боль­ше преж­ней. По до­ро­ге он сде­лал оста­нов­ку на 7 часов. В ре­зуль­та­те он за­тра­тил на об­рат­ный путь столь­ко же вре­ме­ни, сколь­ко на путь из  A  в  B . Най­ди­те ско­рость ве­ло­си­пе­ди­ста на пути из  A  в  B . Ответ дайте в км/ч.",1,55,не выполнено ранее,content,Задачи на движение по прямой
26585,10,"Мо­тор­ная лодка про­шла про­тив те­че­ния реки 112 км и вер­ну­лась в пункт от­прав­ле­ния, за­тра­тив на об­рат­ный путь на 6 часов мень­ше. Най­ди­те ско­рость те­че­ния, если ско­рость лодки в не­по­движ­ной воде равна 11 км/ч. Ответ дайте в км/ч.",1,57,не выполнено ранее,content,Задачи на движение по воде
26586,10,"Мо­тор­ная лодка про­шла про­тив те­че­ния реки 255 км и вер­ну­лась в пункт от­прав­ле­ния, за­тра­тив на об­рат­ный путь на 2 часа мень­ше. Най­ди­те ско­рость лодки в не­по­движ­ной воде, если ско­рость те­че­ния равна 1 км/ч. Ответ дайте в км/ч.",1,57,не выполнено ранее,content,Задачи на движение по воде
26587,10,"Мо­тор­ная лодка в 10:00 вышла из пунк­та А в пункт В, рас­по­ло­жен­ный в 30 км от А. Про­быв в пунк­те В 2 часа 30 минут, лодка от­пра­ви­лась назад и вер­ну­лась в пункт А в 18:00 того же дня. Опре­де­ли­те (в км/ч) соб­ствен­ную ско­рость лодки, если из­вест­но, что ско­рость те­че­ния реки 1 км/ч.",1,57,не выполнено ранее,content,Задачи на движение по воде
26588,10,"Теп­ло­ход про­хо­дит по те­че­нию реки до пунк­та на­зна­че­ния 200 км и после сто­ян­ки воз­вра­ща­ет­ся в пункт от­прав­ле­ния. Най­ди­те ско­рость те­че­ния, если ско­рость теп­ло­хо­да в не­по­движ­ной воде равна 15 км/ч, сто­ян­ка длит­ся 10 часов, а в пункт от­прав­ле­ния теп­ло­ход воз­вра­ща­ет­ся через 40 часов после от­плы­тия из него. Ответ дайте в км/ч.",1,57,не выполнено ранее,content,Задачи на движение по воде
26589,10,"Теп­ло­ход про­хо­дит по те­че­нию реки до пунк­та на­зна­че­ния 255 км и после сто­ян­ки воз­вра­ща­ет­ся в пункт от­прав­ле­ния. Най­ди­те ско­рость теп­ло­хо­да в не­по­движ­ной воде, если ско­рость те­че­ния равна 1 км/ч, сто­ян­ка длит­ся 2 часа, а в пункт от­прав­ле­ния теп­ло­ход воз­вра­ща­ет­ся через 34 часа после от­плы­тия из него. Ответ дайте в км/ч.",1,57,не выполнено ранее,content,Задачи на движение по воде
26592,10,"Заказ на 110 де­та­лей пер­вый ра­бо­чий вы­пол­ня­ет на 1 час быст­рее, чем вто­рой. Сколь­ко де­та­лей за час из­го­тав­ли­ва­ет вто­рой ра­бо­чий, если из­вест­но, что пер­вый за час из­го­тав­ли­ва­ет на 1 де­таль боль­ше?",1,58,не выполнено ранее,content,Задачи на совместную работу
26593,10,"Заказ на 156 де­та­лей пер­вый ра­бо­чий вы­пол­ня­ет на 1 час быст­рее, чем вто­рой. Сколь­ко де­та­лей за час из­го­тав­ли­ва­ет пер­вый ра­бо­чий, если из­вест­но, что он за час из­го­тав­ли­ва­ет на 1 де­таль боль­ше вто­ро­го?",1,58,не выполнено ранее,content,Задачи на совместную работу
26594,10,"На из­го­тов­ле­ние 475 де­та­лей пер­вый ра­бо­чий тра­тит на 6 часов мень­ше, чем вто­рой ра­бо­чий на из­го­тов­ле­ние 550 таких же де­та­лей. Из­вест­но, что пер­вый ра­бо­чий за час де­ла­ет на 3 де­та­ли боль­ше, чем вто­рой. Сколь­ко де­та­лей в час де­ла­ет пер­вый ра­бо­чий?",1,58,не выполнено ранее,content,Задачи на совместную работу
26595,10,"На из­го­тов­ле­ние 99 де­та­лей пер­вый ра­бо­чий тра­тит на 2 часа мень­ше, чем вто­рой ра­бо­чий на из­го­тов­ле­ние 110 таких же де­та­лей. Из­вест­но, что пер­вый ра­бо­чий за час де­ла­ет на 1 де­таль боль­ше, чем вто­рой. Сколь­ко де­та­лей в час де­ла­ет вто­рой ра­бо­чий?",1,58,не выполнено ранее,content,Задачи на совместную работу
26596,10,"Двое ра­бо­чих, ра­бо­тая вме­сте, могут вы­пол­нить ра­бо­ту за 12 дней. За сколь­ко дней, ра­бо­тая от­дель­но, вы­пол­нит эту ра­бо­ту пер­вый ра­бо­чий, если он за два дня вы­пол­ня­ет такую же часть ра­бо­ты, какую вто­рой  — за три дня?",1,58,не выполнено ранее,content,Задачи на совместную работу
26646,6,Най­ди­те ко­рень урав­не­ния  [IMAGE:  ло­га­рифм по ос­но­ва­нию левая круг­лая скоб­ка 2 пра­вая круг­лая скоб­ка левая круг­лая скоб­ка 4 минус x пра­вая круг­лая скоб­ка =7.],3,29,не выполнено ранее,content,Логарифмические уравнения
26647,6,Най­ди­те ко­рень урав­не­ния  [IMAGE:  ло­га­рифм по ос­но­ва­нию левая круг­лая скоб­ка 5 пра­вая круг­лая скоб­ка } левая круг­лая скоб­ка 4 плюс x пра­вая круг­лая скоб­ка =2.],3,29,не выполнено ранее,content,Логарифмические уравнения
26648,6,Най­ди­те ко­рень урав­не­ния  [IMAGE: \log _5} левая круг­лая скоб­ка 5 минус x пра­вая круг­лая скоб­ка =\log _53.],3,29,не выполнено ранее,content,Логарифмические уравнения
26649,6,Най­ди­те ко­рень урав­не­ния  [IMAGE: \log }_2} левая круг­лая скоб­ка 15 плюс x пра­вая круг­лая скоб­ка =\log _23.],3,29,не выполнено ранее,content,Логарифмические уравнения
26650,6,Най­ди­те ко­рень урав­не­ния  [IMAGE: 2 в сте­пе­ни левая круг­лая скоб­ка 4 минус 2x пра­вая круг­лая скоб­ка =64.],1,28,не выполнено ранее,content,Показательные уравнения
26651,6,"Най­ди­те ко­рень урав­не­ния  [IMAGE: 5 в сте­пе­ни левая круг­лая скоб­ка x минус 7 пра­вая круг­лая скоб­ка = дробь: чис­ли­тель: 1, зна­ме­на­тель: 125 конец дроби . ]",1,28,не выполнено ранее,content,Показательные уравнения
26652,6,"Най­ди­те ко­рень урав­не­ния  [IMAGE:  левая круг­лая скоб­ка дробь: чис­ли­тель: 1, зна­ме­на­тель: 3 конец дроби пра­вая круг­лая скоб­ка в сте­пе­ни левая круг­лая скоб­ка x минус 8 пра­вая круг­лая скоб­ка = дробь: чис­ли­тель: 1, зна­ме­на­тель: 9 конец дроби . ]",1,28,не выполнено ранее,content,Показательные уравнения
26653,6,"Най­ди­те ко­рень урав­не­ния  [IMAGE:  левая круг­лая скоб­ка дробь: чис­ли­тель: 1, зна­ме­на­тель: 2 конец дроби пра­вая круг­лая скоб­ка в сте­пе­ни левая круг­лая скоб­ка 6 минус 2x пра­вая круг­лая скоб­ка =4. ]",1,28,не выполнено ранее,content,Показательные уравнения
26654,6,"Най­ди­те ко­рень урав­не­ния  [IMAGE: 16 в сте­пе­ни левая круг­лая скоб­ка x минус 9 пра­вая круг­лая скоб­ка = дробь: чис­ли­тель: 1, зна­ме­на­тель: 2 конец дроби . ]",1,28,не выполнено ранее,content,Показательные уравнения
26656,6,Най­ди­те ко­рень урав­не­ния  [IMAGE:  ко­рень из: на­ча­ло ар­гу­мен­та: 15 минус 2x конец ар­гу­мен­та =3.],1,27,не выполнено ранее,content,Иррациональные уравнения
26657,6,Най­ди­те ко­рень урав­не­ния  [IMAGE: \log _4 левая круг­лая скоб­ка x плюс 3 пра­вая круг­лая скоб­ка =\log _4 левая круг­лая скоб­ка 4x минус 15 пра­вая круг­лая скоб­ка .],3,29,не выполнено ранее,content,Логарифмические уравнения
26660,6,"Най­ди­те ко­рень урав­не­ния  [IMAGE:  ко­рень из: на­ча­ло ар­гу­мен­та: дробь: чис­ли­тель: 6, зна­ме­на­тель: 4x минус 54 конец дроби конец ар­гу­мен­та = дробь: чис­ли­тель: 1, зна­ме­на­тель: 7 конец дроби . ]",1,27,не выполнено ранее,content,Иррациональные уравнения
26661,6,"Най­ди­те ко­рень урав­не­ния  [IMAGE:  ко­рень из: на­ча­ло ар­гу­мен­та: дробь: чис­ли­тель: 2x плюс 5, зна­ме­на­тель: 3 конец дроби конец ар­гу­мен­та =5. ]",1,27,не выполнено ранее,content,Иррациональные уравнения
26662,6,"Най­ди­те ко­рень урав­не­ния:  [IMAGE:  дробь: чис­ли­тель: 4, зна­ме­на­тель: 7 конец дроби x= целая часть: 7, дроб­ная часть: чис­ли­тель: 3, зна­ме­на­тель: 7 . ]",1,25,не выполнено ранее,content,"Линейные, квадратные, кубические уравнения"
26663,6,"Най­ди­те ко­рень урав­не­ния:  [IMAGE:  минус дробь: чис­ли­тель: 2, зна­ме­на­тель: 9 конец дроби x= целая часть: 1, дроб­ная часть: чис­ли­тель: 1, зна­ме­на­тель: 9 . ]",1,25,не выполнено ранее,content,"Линейные, квадратные, кубические уравнения"
26668,6,"Най­ди­те ко­рень урав­не­ния:  [IMAGE:  ко­рень из: на­ча­ло ар­гу­мен­та: минус 72 минус 17x конец ар­гу­мен­та = минус x.]  Если урав­не­ние имеет более од­но­го корня, ука­жи­те мень­ший из них.",1,27,не выполнено ранее,content,Иррациональные уравнения
26669,6,"Най­ди­те корни урав­не­ния:  [IMAGE:  ко­си­нус дробь: чис­ли­тель: Пи левая круг­лая скоб­ка x минус 7 пра­вая круг­лая скоб­ка , зна­ме­на­тель: 3 конец дроби = дробь: чис­ли­тель: 1, зна­ме­на­тель: 2 конец дроби . ]  В ответ за­пи­ши­те наи­боль­ший от­ри­ца­тель­ный ко­рень.",4,30,не выполнено ранее,content,Тригонометрические уравнения
26691,12,Най­ди­те наи­мень­шее зна­че­ние функ­ции  [IMAGE: y= левая круг­лая скоб­ка x минус 8 пра­вая круг­лая скоб­ка e в сте­пе­ни левая круг­лая скоб­ка x минус 7 пра­вая круг­лая скоб­ка ]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка 6; 8 пра­вая квад­рат­ная скоб­ка .],1,70,не выполнено ранее,content,Исследование произведений
26692,12,"Най­ди­те наи­боль­шее зна­че­ние функ­ции  [IMAGE: y=12 ко­си­нус x плюс 6 ко­рень из: на­ча­ло ар­гу­мен­та: 3 конец ар­гу­мен­та x минус 2 ко­рень из: на­ча­ло ар­гу­мен­та: 3 конец ар­гу­мен­та Пи плюс 6]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка 0; дробь: чис­ли­тель: Пи , зна­ме­на­тель: 2 конец дроби пра­вая квад­рат­ная скоб­ка . ]",4,72,не выполнено ранее,content,Исследование тригонометрических функций
26693,12,"Най­ди­те наи­мень­шее зна­че­ние функ­ции   [IMAGE: y=3 плюс дробь: чис­ли­тель: 5 Пи , зна­ме­на­тель: 4 конец дроби минус 5x минус 5 ко­рень из: на­ча­ло ар­гу­мен­та: 2 конец ар­гу­мен­та ко­си­нус x ]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка 0; дробь: чис­ли­тель: Пи , зна­ме­на­тель: 2 конец дроби пра­вая квад­рат­ная скоб­ка . ]",4,72,не выполнено ранее,content,Исследование тригонометрических функций
26694,12,"Най­ди­те наи­мень­шее зна­че­ние функ­ции  [IMAGE: y=5 ко­си­нус x минус 6x плюс 4]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка минус дробь: чис­ли­тель: 3 Пи , зна­ме­на­тель: 2 конец дроби ;0 пра­вая квад­рат­ная скоб­ка . ]",4,72,не выполнено ранее,content,Исследование тригонометрических функций
26695,12,"Най­ди­те наи­боль­шее зна­че­ние функ­ции  [IMAGE: y=15x минус 3 синус x плюс 5]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка минус дробь: чис­ли­тель: Пи , зна­ме­на­тель: 2 конец дроби ;0 пра­вая квад­рат­ная скоб­ка . ]",4,72,не выполнено ранее,content,Исследование тригонометрических функций
26696,12,"Най­ди­те наи­мень­шее зна­че­ние функ­ции  [IMAGE: y=9 ко­си­нус x плюс 14x плюс 7] на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка 0; дробь: чис­ли­тель: 3 Пи , зна­ме­на­тель: 2 конец дроби пра­вая квад­рат­ная скоб­ка . ]",4,72,не выполнено ранее,content,Исследование тригонометрических функций
26710,12,Най­ди­те точку ми­ни­му­ма функ­ции  [IMAGE: y= левая круг­лая скоб­ка x плюс 16 пра­вая круг­лая скоб­ка e в сте­пе­ни левая круг­лая скоб­ка x минус 16 пра­вая круг­лая скоб­ка .],1,70,не выполнено ранее,content,Исследование произведений
26711,12,Най­ди­те точку мак­си­му­ма функ­ции  [IMAGE: y= левая круг­лая скоб­ка 9 минус x пра­вая круг­лая скоб­ка e в сте­пе­ни левая круг­лая скоб­ка x плюс 9 пра­вая круг­лая скоб­ка .],1,70,не выполнено ранее,content,Исследование произведений
26712,12,Най­ди­те точку ми­ни­му­ма функ­ции  [IMAGE: y= левая круг­лая скоб­ка 3 минус x пра­вая круг­лая скоб­ка e в сте­пе­ни левая круг­лая скоб­ка 3 минус x пра­вая круг­лая скоб­ка .],1,70,не выполнено ранее,content,Исследование произведений
26713,12,Най­ди­те точку мак­си­му­ма функ­ции  [IMAGE: y= левая круг­лая скоб­ка x плюс 16 пра­вая круг­лая скоб­ка e в сте­пе­ни левая круг­лая скоб­ка 16 минус x пра­вая круг­лая скоб­ка .],1,70,не выполнено ранее,content,Исследование произведений
26714,12,"Най­ди­те наи­мень­шее зна­че­ние функ­ции  [IMAGE: y=3x минус на­ту­раль­ный ло­га­рифм левая круг­лая скоб­ка x плюс 3 пра­вая круг­лая скоб­ка в кубе ]  на от­рез­ке [−2,5; 0].",3,71,не выполнено ранее,content,Исследование показательных и логарифмических функций
26715,12,"Най­ди­те наи­боль­шее зна­че­ние функ­ции  [IMAGE: y= на­ту­раль­ный ло­га­рифм левая круг­лая скоб­ка x плюс 5 пра­вая круг­лая скоб­ка в сте­пе­ни левая круг­лая скоб­ка 5 пра­вая круг­лая скоб­ка минус 5x]  на от­рез­ке [−4,5; 0].",3,71,не выполнено ранее,content,Исследование показательных и логарифмических функций
26716,12,"Най­ди­те наи­мень­шее зна­че­ние функ­ции  [IMAGE: y=4x минус 4 на­ту­раль­ный ло­га­рифм левая круг­лая скоб­ка x плюс 7 пра­вая круг­лая скоб­ка плюс 6]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка минус 6,5;0 пра­вая квад­рат­ная скоб­ка .]",3,71,не выполнено ранее,content,Исследование показательных и логарифмических функций
26717,12,"Най­ди­те наи­боль­шее зна­че­ние функ­ции  [IMAGE: y=8 на­ту­раль­ный ло­га­рифм левая круг­лая скоб­ка x плюс 7 пра­вая круг­лая скоб­ка минус 8x плюс 3]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка минус 6,5;0 пра­вая квад­рат­ная скоб­ка .]",3,71,не выполнено ранее,content,Исследование показательных и логарифмических функций
26718,12,"Най­ди­те наи­мень­шее зна­че­ние функ­ции  [IMAGE: y=9x минус на­ту­раль­ный ло­га­рифм левая круг­лая скоб­ка 9x пра­вая круг­лая скоб­ка плюс 3]  на от­рез­ке  [IMAGE:  левая квад­рат­ная скоб­ка дробь: чис­ли­тель: 1, зна­ме­на­тель: 18 конец дроби ; дробь: чис­ли­тель: 5, зна­ме­на­тель: 18 конец дроби пра­вая квад­рат­ная скоб­ка . ]",3,71,не выполнено ранее,content,Исследование показательных и логарифмических функций
26735,7,Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  ко­рень из: на­ча­ло ар­гу­мен­та: 65 конец ар­гу­мен­та в квад­ра­те минус 56 в квад­ра­те .],1,35,не выполнено ранее,content,Преобразования числовых иррациональных выражений
26736,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: левая круг­лая скоб­ка 2 ко­рень из: на­ча­ло ар­гу­мен­та: 7 конец ар­гу­мен­та пра­вая круг­лая скоб­ка в квад­ра­те , зна­ме­на­тель: 14 конец дроби . ]",1,35,не выполнено ранее,content,Преобразования числовых иррациональных выражений
26737,7,Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  левая круг­лая скоб­ка ко­рень из: на­ча­ло ар­гу­мен­та: 13 конец ар­гу­мен­та минус ко­рень из: на­ча­ло ар­гу­мен­та: 7 конец ар­гу­мен­та пра­вая круг­лая скоб­ка левая круг­лая скоб­ка ко­рень из: на­ча­ло ар­гу­мен­та: 13 конец ар­гу­мен­та плюс ко­рень из: на­ча­ло ар­гу­мен­та: 7 конец ар­гу­мен­та пра­вая круг­лая скоб­ка .],1,35,не выполнено ранее,content,Преобразования числовых иррациональных выражений
26738,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE: 5 в сте­пе­ни левая круг­лая скоб­ка 0,36 пра­вая круг­лая скоб­ка умно­жить на 25 в сте­пе­ни левая круг­лая скоб­ка 0,32 пра­вая круг­лая скоб­ка .]",1,33,не выполнено ранее,content,Вычисление значений степенных выражений
26739,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: 3 в сте­пе­ни левая круг­лая скоб­ка 6,5 пра­вая круг­лая скоб­ка , зна­ме­на­тель: 9 в сте­пе­ни левая круг­лая скоб­ка 2,25 пра­вая круг­лая скоб­ка конец дроби . ]",1,33,не выполнено ранее,content,Вычисление значений степенных выражений
26740,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE: 7 в сте­пе­ни левая круг­лая скоб­ка дробь: чис­ли­тель: 4, зна­ме­на­тель: 9 конец дроби пра­вая круг­лая скоб­ка умно­жить на 49 в сте­пе­ни левая круг­лая скоб­ка дробь: чис­ли­тель: 5, зна­ме­на­тель: 18 конец дроби пра­вая круг­лая скоб­ка . ]",1,33,не выполнено ранее,content,Вычисление значений степенных выражений
26741,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: 2 в сте­пе­ни левая круг­лая скоб­ка 3,5 пра­вая круг­лая скоб­ка умно­жить на 3 в сте­пе­ни левая круг­лая скоб­ка 5,5 пра­вая круг­лая скоб­ка , зна­ме­на­тель: 6 в сте­пе­ни левая круг­лая скоб­ка 4,5 пра­вая круг­лая скоб­ка конец дроби . ]",1,33,не выполнено ранее,content,Вычисление значений степенных выражений
26742,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE: 35 в сте­пе­ни левая круг­лая скоб­ка минус 4,7 пра­вая круг­лая скоб­ка умно­жить на 7 в сте­пе­ни левая круг­лая скоб­ка 5,7 пра­вая круг­лая скоб­ка :5 в сте­пе­ни левая круг­лая скоб­ка минус 3,7 пра­вая круг­лая скоб­ка .]",1,33,не выполнено ранее,content,Вычисление значений степенных выражений
26743,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: ко­рень из: на­ча­ло ар­гу­мен­та: 2,8 конец ар­гу­мен­та умно­жить на ко­рень из: на­ча­ло ар­гу­мен­та: 4,2 конец ар­гу­мен­та , зна­ме­на­тель: ко­рень из: на­ча­ло ар­гу­мен­та: 0,24 конец ар­гу­мен­та конец дроби . ]",1,35,не выполнено ранее,content,Преобразования числовых иррациональных выражений
26744,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  левая круг­лая скоб­ка ко­рень из: на­ча­ло ар­гу­мен­та: целая часть: 3, дроб­ная часть: чис­ли­тель: 6, зна­ме­на­тель: 7 конец ар­гу­мен­та минус ко­рень из: на­ча­ло ар­гу­мен­та: целая часть: 1, дроб­ная часть: чис­ли­тель: 5, зна­ме­на­тель: 7 конец ар­гу­мен­та пра­вая круг­лая скоб­ка : ко­рень из: на­ча­ло ар­гу­мен­та: дробь: чис­ли­тель: 3, зна­ме­на­тель: 28 конец дроби конец ар­гу­мен­та . ]",1,35,не выполнено ранее,content,Преобразования числовых иррациональных выражений
26755,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: 12 синус 11 гра­ду­сов умно­жить на ко­си­нус 11 гра­ду­сов , зна­ме­на­тель: синус 22 гра­ду­сов конец дроби . ]",4,40,не выполнено ранее,content,Преобразования числовых тригонометрических выражений
26756,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: 24 левая круг­лая скоб­ка синус в квад­ра­те 17 гра­ду­сов минус ко­си­нус в квад­ра­те 17 гра­ду­сов пра­вая круг­лая скоб­ка , зна­ме­на­тель: ко­си­нус 34 гра­ду­сов конец дроби . ]",4,40,не выполнено ранее,content,Преобразования числовых тригонометрических выражений
26757,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE:  дробь: чис­ли­тель: 5 ко­си­нус 29 гра­ду­сов , зна­ме­на­тель: синус 61 гра­ду­сов конец дроби . ]",4,40,не выполнено ранее,content,Преобразования числовых тригонометрических выражений
26758,7,"Най­ди­те зна­че­ние вы­ра­же­ния  [IMAGE: 36 ко­рень из: на­ча­ло ар­гу­мен­та: 6 конец ар­гу­мен­та тан­генс дробь: чис­ли­тель: Пи , зна­ме­на­тель: 6 конец дроби синус дробь: чис­ли­тель: Пи , зна­ме­на­тель: 4 конец дроби . ]",4,40,не выполнено ранее,content,Преобразования числовых тригонометрических выражений
